source,target,current,group,link
0,4,1,"Vorstand",""
1,4,1,"Vorstand",""
2,4,1,"Vorstand",""
3,4,1,"Vorstand",""
0,5,1,"Mitarbeiter",""
1,6,1,"Mitarbeiter",""
2,7,1,"Mitarbeiter",""
3,5,1,"Mitarbeiter",""
8,4,1,"Beratung",""
8,5,1,"Mitarbeiter",""
9,4,1,"Beratung",""
9,10,1,"Mitarbeiter",""
11,4,1,"Beratung",""
11,12,1,"Mitarbeiter",""
13,4,1,"Beratung",""
13,5,1,"Mitarbeiter",""
14,4,1,"Beratung",""
14,15,1,"Mitarbeiter",""
0,8,1,"Mitarbeiter",""
4,16,1,"kontrolliert",""
17,16,1,"Vorstand",""
17,6,1,"Mitarbeiter",""
18,16,1,"Vorstand",""
18,15,1,"Mitarbeiter",""
19,16,1,"Mitglied",""
19,20,1,"Mitarbeiter",""
21,16,1,"Mitglied",""
21,22,1,"Mitarbeiter",""
23,16,1,"Mitglied",""
23,24,1,"Vorstand",""
23,5,1,"Mitarbeiter",""
23,25,1,"Mitarbeiter",""
