title,id,image,current,group,link
"Martin Ackermann",0,"martin_ackermann.jpg",1,"person","https://usys.ethz.ch/en/people/profile.martin-ackermann.html"
"Samia Hurst-Majno",1,"samia_hurst-majno.jpg",1,"person",""
"Urs Karrer",2,"urs_karrer.jpg",1,"person",""
"Jan-Egbert Sturm",3,"jan-egbert_sturm.jpg",1,"person",""
"Task Force",4,"task_force.jpg",1,"org",""
"ETHZ",5,"ethz.jpg",1,"edu",""
"Universität Genf",6,"universität_genf.jpg",1,"edu",""
"Kantonsspital Winterthur",7,"kantonsspital_winterthur.jpg",1,"medorg",""
"Sebastian Bonhoeffer",8,"sebastian_bonhoeffer.jpg",1,"person",""
"Edouard Bugnion",9,"edouard_bugnion.jpg",1,"person",""
"EPFL",10,"epfl.jpg",1,"edu",""
"Monika Bütler",11,"monika_bütler.jpg",1,"person",""
"Universität St.Gallen",12,"universität_st.gallen.jpg",1,"edu",""
"Annette Oxenius",13,"annette_oxenius.jpg",1,"person",""
"Volker Thiel",14,"volker_thiel.jpg",1,"person",""
"Universität Bern",15,"universität_bern.jpg",1,"person",""
"Clinical care",16,"clinical_care.jpg",1,"suborg",""
"Alexandra Calmy",17,"alexandra_calmy.jpg",1,"person",""
"Sven Streit",18,"sven_streit.jpg",1,"person",""
"Sonja Baumann",19,"sonja_baumann.jpg",1,"person",""
"Schweizerischer Verein für Pflegewissenschaft",20,"schweizerischer_verein_für_pflegewissenschaft.jpg",1,"medorg",""
"Christine Baumgartner",21,"christine_baumgartner.jpg",1,"person",""
"Universitätsspital Bern Insel",22,"universitätsspital_bern_insel.jpg",1,"medorg",""
"Gaby Bieri",23,"gaby_bieri.jpg",1,"person",""
"Pflegezentren, Stadt Zürich",24,"pflegezentren_stadt_zürich.jpg",1,"org",""
"Universität Zürich",25,"universität_zürich.jpg",1,"person",""
